iter	Logloss
0	0.6924776065
1	0.6918557342
2	0.6912807477
3	0.6907663015
4	0.6902466568
5	0.6897644928
6	0.6893492989
7	0.6887971102
8	0.6884495365
9	0.6880567274
10	0.6876720576
11	0.6871235039
12	0.6868204564
13	0.6863898971
14	0.6861014113
15	0.6856413961
16	0.6852703343
17	0.6849371118
18	0.6846091827
19	0.6842261688
20	0.6839348053
21	0.6835561328
22	0.6832551515
23	0.6828443615
24	0.6825480556
25	0.6822069847
26	0.6819411724
27	0.6816174863
28	0.6813502812
29	0.6811410626
30	0.680924456
31	0.6805695712
32	0.6802883068
33	0.6800084951
34	0.6797571437
35	0.6795354626
36	0.6791844821
37	0.6789706095
38	0.6786197007
39	0.6783712632
40	0.6782079018
41	0.6779778204
42	0.6777920027
43	0.6775780909
44	0.6771988738
45	0.676821194
46	0.676602979
47	0.6764049151
48	0.676081404
