iter	Passed	Remaining
0	130	65120
1	132	32986
2	134	22266
3	136	16897
4	138	13683
5	140	11537
6	142	10010
7	143	8851
8	145	7952
9	147	7235
10	149	6643
11	151	6160
12	153	5753
13	155	5401
14	157	5091
15	159	4816
16	161	4577
17	163	4366
18	164	4176
19	166	4004
20	168	3850
21	170	3709
22	172	3580
23	174	3462
24	176	3353
25	178	3252
26	180	3156
27	181	3067
28	183	2985
29	185	2910
30	187	2838
31	189	2772
32	191	2708
33	193	2648
34	195	2592
35	196	2538
36	198	2487
37	200	2439
38	202	2392
39	204	2348
40	206	2307
41	207	2267
42	209	2230
43	211	2195
44	213	2160
45	215	2127
46	217	2096
47	219	2066
48	221	2037
